movie,short,tvEpisode,tvMiniSeries,tvMovie,tvSeries,tvShort,tvSpecial,video,videoGame
6.0,1853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,3613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,5417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,8091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,9925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,11611.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,13446.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
78.0,15914.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101.0,20175.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195.0,25515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305.0,31814.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
473.0,39353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826.0,47716.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1509.0,56808.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2667.0,64985.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4312.0,71906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6410.0,76844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8594.0,80273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10826.0,82772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13271.0,84465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15915.0,86318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18498.0,87960.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20675.0,89379.0,11.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
22586.0,90505.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24509.0,91671.0,17.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
26573.0,92988.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
28616.0,94338.0,26.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0
30776.0,95685.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32911.0,97036.0,33.0,0.0,4.0,5.0,0.0,0.0,2.0,0.0
34928.0,98661.0,36.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0
36908.0,99836.0,61.0,0.0,7.0,10.0,0.0,0.0,3.0,0.0
38960.0,101037.0,77.0,0.0,0.0,31.0,0.0,4.0,0.0,0.0
41037.0,102010.0,89.0,0.0,8.0,44.0,0.0,0.0,0.0,0.0
43037.0,102901.0,115.0,0.0,9.0,45.0,0.0,0.0,0.0,0.0
44956.0,103910.0,158.0,0.0,11.0,49.0,0.0,0.0,0.0,0.0
46903.0,104837.0,183.0,0.0,12.0,52.0,0.0,0.0,5.0,0.0
49133.0,105852.0,263.0,1.0,20.0,65.0,10.0,8.0,0.0,0.0
51257.0,106928.0,548.0,6.0,71.0,86.0,32.0,9.0,0.0,0.0
53237.0,107955.0,779.0,0.0,190.0,98.0,59.0,11.0,0.0,0.0
55106.0,108853.0,869.0,9.0,333.0,108.0,71.0,16.0,0.0,0.0
56865.0,109652.0,928.0,0.0,0.0,115.0,73.0,17.0,0.0,0.0
58397.0,110576.0,966.0,0.0,335.0,120.0,0.0,0.0,6.0,0.0
59862.0,111496.0,997.0,10.0,0.0,122.0,0.0,18.0,0.0,0.0
61192.0,112319.0,1046.0,0.0,336.0,125.0,0.0,0.0,0.0,0.0
62358.0,113131.0,1099.0,0.0,341.0,132.0,0.0,0.0,7.0,0.0
63477.0,113963.0,1179.0,11.0,355.0,137.0,0.0,19.0,8.0,0.0
64787.0,114827.0,1364.0,13.0,454.0,205.0,77.0,24.0,0.0,0.0
66289.0,115653.0,1786.0,16.0,598.0,266.0,79.0,31.0,9.0,0.0
67916.0,116531.0,2596.0,21.0,742.0,429.0,86.0,42.0,0.0,1.0
69693.0,117472.0,4439.0,23.0,873.0,675.0,90.0,55.0,10.0,0.0
71605.0,118434.0,8487.0,26.0,952.0,957.0,99.0,67.0,11.0,2.0
73483.0,119430.0,13999.0,29.0,1050.0,1226.0,106.0,79.0,0.0,0.0
75507.0,120461.0,19824.0,32.0,1183.0,1527.0,132.0,100.0,12.0,3.0
77568.0,121539.0,25732.0,49.0,1487.0,1828.0,157.0,125.0,0.0,0.0
79654.0,122570.0,33535.0,58.0,1899.0,2130.0,173.0,154.0,14.0,0.0
81809.0,123706.0,42206.0,72.0,2345.0,2487.0,195.0,198.0,0.0,0.0
84153.0,124799.0,50576.0,95.0,2783.0,2901.0,219.0,252.0,16.0,0.0
86593.0,125967.0,59866.0,116.0,3369.0,3447.0,261.0,315.0,17.0,0.0
89097.0,127064.0,70035.0,155.0,4024.0,3947.0,301.0,377.0,18.0,4.0
91627.0,128101.0,80481.0,199.0,4811.0,4525.0,335.0,463.0,20.0,0.0
94279.0,129265.0,91607.0,258.0,5699.0,5063.0,380.0,538.0,26.0,0.0
96985.0,130538.0,102905.0,310.0,6759.0,5596.0,429.0,614.0,37.0,0.0
99679.0,131794.0,113602.0,362.0,7899.0,6069.0,534.0,696.0,42.0,6.0
102307.0,133152.0,126012.0,450.0,9260.0,6683.0,673.0,795.0,64.0,0.0
