Titre,Année,Durée,Genres,Note,Votes
L'enfant prodigue,1907,90,Drama,6.0,5
Hamlet,1910,\N,Drama,5.0,24
La clémence d'Abraham Lincoln,1910,\N,\N,5.2,13
L'auberge rouge,1910,\N,\N,5.3,7
La dame aux camélias,1912,\N,"Drama,Romance",5.8,22
Le roi des parfums,1910,\N,\N,4.6,7
Les misérables - Époque 1: Jean Valjean,1913,60,Drama,6.0,18
L'électrocuté,1911,\N,Sci-Fi,4.0,10
L'enfer,1911,71,"Adventure,Drama,Fantasy",7.1,2428
De la crèche à la croix,1912,60,"Biography,Drama",5.7,508
Passion,1919,85,"Biography,Drama,Romance",6.8,779
Quo Vadis?,1913,120,"Drama,History",6.2,298
Richard III,1912,55,Drama,5.6,231
Le masque noir,1912,60,Drama,4.2,9
Le Dernier Bohême,1913,\N,"Drama,Romance",4.7,23
Zigomar contre Nick Carter,1912,48,"Crime,Thriller",6.1,24
Les aventures de Kathlyn,1913,\N,Adventure,5.6,24
Le Désastre,1913,48,"Drama,War",6.6,19
Le diamant noir,1913,50,\N,5.1,16
Fantômas - À l'ombre de la guillotine,1913,54,"Crime,Drama",7.0,2038
Germinal,1913,150,Drama,6.9,99
Une querelle de frontière,1913,51,Drama,5.7,23
L'île des bienheureux,1913,49,"Comedy,Fantasy",4.6,43
Juve contre Fantômas,1913,61,"Crime,Drama",7.0,1405
Les misérables - Époque 2: Fantine,1913,300,Drama,5.9,17
Le mort qui tue,1913,90,"Crime,Drama,Mystery",7.0,1095
L'étudiant de Prague,1913,85,"Drama,Fantasy,Horror",6.5,1860
Terrible vengeance,1913,\N,\N,6.0,9
Les derniers jours de Pompei,1913,88,"Adventure,Drama",6.2,485
Quand le terre trembla,1913,\N,\N,5.8,29
Le serment de Rio Jim,1914,70,Western,6.5,158
Cabiria,1914,148,"Adventure,Drama,History",7.1,3231
L'Enfant de Paris,1913,124,"Crime,Drama",7.4,323
Les mystères de New York,1914,220,Action,6.5,47
Le policier apache,1914,59,"Crime,Drama",6.9,1200
Le faux magistrat,1914,70,"Crime,Drama",6.9,973
La tulipe d'or,1914,68,\N,5.6,20
Le golem,1915,60,Horror,6.8,1057
In the Land of the Head Hunters,1914,65,"Drama,History",5.8,414
Judith de Béthulie,1914,61,Drama,6.1,1259
La femme nue,1914,\N,Drama,4.9,7
Les exploits d'Elaine,1914,199,"Action,Adventure,Drama",6.3,943
Le chevalier de Maison-Rouge,1914,109,"Drama,History",5.8,35
Le roman comique de Charlot et Lolotte,1914,82,Comedy,6.3,3304
L'indésirable,1915,67,Drama,6.3,173
L'honneur japonais,1914,\N,Drama,5.3,16
Fleur sauvage,1914,\N,"Drama,Romance",6.4,5
Fille de pirates,1914,54,"Comedy,Drama",6.4,258
La colère des Dieux,1914,56,"Drama,Romance",5.7,137
Jimmy le mystérieux,1915,65,"Crime,Drama",6.5,215
Alice au pays des merveilles,1915,52,"Adventure,Family,Fantasy",6.2,417
L'invasion des États-Unis,1915,90,Drama,4.3,6
Naissance d'une nation,1915,195,"Drama,History,War",6.3,23024
Insouciance,1915,50,Drama,6.6,48
Forfaiture,1915,59,"Drama,Romance",6.6,2379
Un lâche,1915,77,"Drama,History,War",6.0,253
La ravageuse,1915,50,"Drama,Romance",7.4,9
La ville éternelle,1915,80,Drama,7.2,6
"Fanchon, the Cricket",1915,75,Drama,6.4,140
Embrasse-moi idiot,1915,67,Drama,5.8,811
Sublime beauté,1915,\N,Drama,6.9,19
Jane,1915,50,Comedy,8.2,6
Jeanne Doré,1915,50,Drama,6.6,8
Le timide,1915,56,"Adventure,Comedy,Western",5.7,39
Le lys et la rose,1915,50,Drama,6.9,34
Madame Butterfly,1915,61,Drama,5.2,55
Rhapsodie satanique,1917,55,"Drama,Fantasy,Horror",6.9,636
Régénération,1915,72,"Biography,Crime,Drama",6.8,1149
Rouslan et Ludmilla,1915,\N,\N,7.4,7
